[INFO] [2017-08-2215:26:25][com.ssm.test.mybatis.mytest]
[INFO] [2017-08-2215:26:55][com.ssm.test.mybatis.mytest]
[INFO] [2017-08-2215:27:45][com.ssm.test.mybatis.mytest]
[INFO] [2017-08-2215:29:58][com.ssm.test.mybatis.mytest]
[INFO] 2017-08-22 15:35:54 [main] INFO  [com.ssm.test.mybatis.mytest] - 
[INFO] 2017-08-22 17:46:45 [main] INFO  [org.springframework.beans.factory.config.PropertyPlaceholderConfigurer] - Loading properties file from class path resource [db.properties]
[INFO] 2017-08-22 17:48:06 [main] INFO  [org.springframework.context.support.ClassPathXmlApplicationContext] - Refreshing org.springframework.context.support.ClassPathXmlApplicationContext@75a1cd57: startup date [Tue Aug 22 17:48:06 CST 2017]; root of context hierarchy
[INFO] 2017-08-22 17:48:06 [main] INFO  [org.springframework.beans.factory.xml.XmlBeanDefinitionReader] - Loading XML bean definitions from class path resource [spring-mybatis.xml]
[INFO] 2017-08-22 17:48:06 [main] INFO  [org.springframework.beans.factory.config.PropertyPlaceholderConfigurer] - Loading properties file from class path resource [db.properties]
[INFO] 2017-08-22 17:48:28 [main] INFO  [org.springframework.context.support.ClassPathXmlApplicationContext] - Refreshing org.springframework.context.support.ClassPathXmlApplicationContext@75a1cd57: startup date [Tue Aug 22 17:48:28 CST 2017]; root of context hierarchy
[INFO] 2017-08-22 17:48:28 [main] INFO  [org.springframework.beans.factory.xml.XmlBeanDefinitionReader] - Loading XML bean definitions from class path resource [spring-mybatis.xml]
[INFO] 2017-08-22 17:48:28 [main] INFO  [org.springframework.beans.factory.config.PropertyPlaceholderConfigurer] - Loading properties file from class path resource [db.properties]
[INFO] 2017-08-22 17:58:12 [main] INFO  [org.springframework.context.support.ClassPathXmlApplicationContext] - Refreshing org.springframework.context.support.ClassPathXmlApplicationContext@75a1cd57: startup date [Tue Aug 22 17:58:12 CST 2017]; root of context hierarchy
[INFO] 2017-08-22 17:58:12 [main] INFO  [org.springframework.beans.factory.xml.XmlBeanDefinitionReader] - Loading XML bean definitions from class path resource [spring-mybatis.xml]
[INFO] 2017-08-22 17:58:12 [main] INFO  [org.springframework.beans.factory.config.PropertyPlaceholderConfigurer] - Loading properties file from class path resource [db.properties]
[INFO] 2017-08-22 18:05:23 [main] INFO  [org.springframework.context.support.ClassPathXmlApplicationContext] - Refreshing org.springframework.context.support.ClassPathXmlApplicationContext@75a1cd57: startup date [Tue Aug 22 18:05:23 CST 2017]; root of context hierarchy
[INFO] 2017-08-22 18:05:23 [main] INFO  [org.springframework.beans.factory.xml.XmlBeanDefinitionReader] - Loading XML bean definitions from class path resource [spring-mybatis.xml]
[INFO] 2017-08-22 18:05:23 [main] INFO  [org.springframework.beans.factory.config.PropertyPlaceholderConfigurer] - Loading properties file from class path resource [db.properties]
[INFO] 2017-08-22 18:05:30 [main] INFO  [org.springframework.context.support.ClassPathXmlApplicationContext] - Refreshing org.springframework.context.support.ClassPathXmlApplicationContext@75a1cd57: startup date [Tue Aug 22 18:05:30 CST 2017]; root of context hierarchy
[INFO] 2017-08-22 18:05:30 [main] INFO  [org.springframework.beans.factory.xml.XmlBeanDefinitionReader] - Loading XML bean definitions from class path resource [spring-mybatis.xml]
[INFO] 2017-08-22 18:05:30 [main] INFO  [org.springframework.beans.factory.config.PropertyPlaceholderConfigurer] - Loading properties file from class path resource [db.properties]
